Date,Event,Opponent,Map,Result,W/L
27/04/21,IEM Summer 2021 Closed Qualifier,BIG,Dust2,16 - 12,W
27/04/21,IEM Summer 2021 Closed Qualifier,BIG,Nuke,16 - 13,W
27/04/21,Flashpoint 3 Closed Qualifier,Lilmix,Vertigo,16 - 6,W
27/04/21,Flashpoint 3 Closed Qualifier,Lilmix,Inferno,16 - 0,W
27/04/21,IEM Summer 2021 Closed Qualifier,G2,Mirage,14 - 16,L
27/04/21,IEM Summer 2021 Closed Qualifier,G2,Dust2,16 - 11,W
27/04/21,IEM Summer 2021 Closed Qualifier,G2,Vertigo,12 - 16,L
26/04/21,IEM Summer 2021 Closed Qualifier,K23,Mirage,16 - 7,W
26/04/21,IEM Summer 2021 Closed Qualifier,K23,Dust2,16 - 5,W
07/04/21,Snow Sweet Snow 3,ex-Winstrike,Dust2,19 - 17,W
07/04/21,Snow Sweet Snow 3,ex-Winstrike,Nuke,25 - 22,W
07/04/21,Snow Sweet Snow 3,fnatic,Mirage,16 - 6,W
07/04/21,Snow Sweet Snow 3,fnatic,Vertigo,16 - 14,W
07/04/21,Snow Sweet Snow 3,fnatic,Train,12 - 16,L
06/04/21,Snow Sweet Snow 3,SKADE,Nuke,16 - 6,W
06/04/21,Snow Sweet Snow 3,SKADE,Mirage,19 - 17,W
23/03/21,Fantasyexpo Spring Cup 2021 - BLAST Premier Qualifier,PACT,Nuke,3 - 16,L
23/03/21,Fantasyexpo Spring Cup 2021 - BLAST Premier Qualifier,DBL PONEY,Vertigo,12 - 16,L
18/03/21,ESL Pro League Season 13,G2,Mirage,16 - 12,W
18/03/21,ESL Pro League Season 13,G2,Vertigo,16 - 6,W
17/03/21,ESL Pro League Season 13,Ninjas in Pyjamas,Mirage,14 - 16,L
17/03/21,ESL Pro League Season 13,Ninjas in Pyjamas,Dust2,9 - 16,L
17/03/21,ESL Pro League Season 13,Ninjas in Pyjamas,Inferno,16 - 9,W
15/03/21,ESL Pro League Season 13,Vitality,Dust2,14 - 16,L
15/03/21,ESL Pro League Season 13,Vitality,Mirage,11 - 16,L
14/03/21,ESL Pro League Season 13,FaZe,Inferno,10 - 16,L
14/03/21,ESL Pro League Season 13,FaZe,Mirage,13 - 16,L
13/03/21,ESL Pro League Season 13,ENCE,Inferno,14 - 16,L
13/03/21,ESL Pro League Season 13,ENCE,Vertigo,16 - 5,W
13/03/21,ESL Pro League Season 13,ENCE,Train,12 - 16,L
19/02/21,IEM Katowice 2021,Gambit,Vertigo,10 - 16,L
19/02/21,IEM Katowice 2021,Gambit,Dust2,11 - 16,L
18/02/21,IEM Katowice 2021,Astralis,Inferno,12 - 16,L
18/02/21,IEM Katowice 2021,Astralis,Nuke,8 - 16,L
17/02/21,IEM Katowice 2021 Play-in,Complexity,Nuke,16 - 3,W
17/02/21,IEM Katowice 2021 Play-in,Complexity,Dust2,19 - 17,W
17/02/21,IEM Katowice 2021 Play-in,Complexity,Mirage,8 - 16,L
16/02/21,IEM Katowice 2021 Play-in,Gambit,Vertigo,6 - 16,L
16/02/21,IEM Katowice 2021 Play-in,Gambit,Inferno,12 - 16,L
16/02/21,IEM Katowice 2021 Play-in,Gambit,Dust2,16 - 11,W
16/02/21,IEM Katowice 2021 Play-in,Renegades,Inferno,16 - 14,W
31/01/21,cs_summit 7,Virtus.pro,Dust2,5 - 16,L
31/01/21,cs_summit 7,Virtus.pro,Train,6 - 16,L
29/01/21,cs_summit 7,FURIA,Inferno,16 - 14,W
29/01/21,cs_summit 7,FURIA,Nuke,16 - 7,W
26/01/21,cs_summit 7,HEROIC,Vertigo,16 - 14,W
26/01/21,cs_summit 7,HEROIC,Train,16 - 12,W
25/01/21,cs_summit 7,FaZe,Train,16 - 4,W
25/01/21,cs_summit 7,FaZe,Mirage,16 - 6,W
09/12/20,BLAST Premier Fall 2020 Finals,Astralis,Vertigo,8 - 16,L
09/12/20,BLAST Premier Fall 2020 Finals,Astralis,Nuke,5 - 16,L
08/12/20,BLAST Premier Fall 2020 Finals,Vitality,Dust2,8 - 16,L
08/12/20,BLAST Premier Fall 2020 Finals,Vitality,Inferno,7 - 16,L
06/12/20,DreamHack Masters Winter 2020 Europe,Astralis,Vertigo,19 - 22,L
06/12/20,DreamHack Masters Winter 2020 Europe,Astralis,Nuke,13 - 16,L
06/12/20,DreamHack Masters Winter 2020 Europe,Astralis,Inferno,16 - 3,W
06/12/20,DreamHack Masters Winter 2020 Europe,Astralis,Train,5 - 16,L
05/12/20,DreamHack Masters Winter 2020 Europe,GODSENT,Inferno,16 - 10,W
05/12/20,DreamHack Masters Winter 2020 Europe,GODSENT,Mirage,16 - 13,W
05/12/20,DreamHack Masters Winter 2020 Europe,GODSENT,Nuke,13 - 16,L
04/12/20,DreamHack Masters Winter 2020 Europe,Cloud9,Inferno,16 - 12,W
04/12/20,DreamHack Masters Winter 2020 Europe,Cloud9,Nuke,16 - 12,W
02/12/20,DreamHack Masters Winter 2020 Europe,GODSENT,Train,16 - 8,W
02/12/20,DreamHack Masters Winter 2020 Europe,GODSENT,Inferno,16 - 9,W
02/12/20,DreamHack Masters Winter 2020 Europe,GODSENT,Nuke,13 - 16,L
30/11/20,DreamHack Masters Winter 2020 Europe,Liquid,Dust2,16 - 12,W
30/11/20,DreamHack Masters Winter 2020 Europe,Liquid,Inferno,16 - 13,W
29/11/20,BLAST Premier Fall 2020 Showdown,Cloud9,Inferno,16 - 13,W
29/11/20,BLAST Premier Fall 2020 Showdown,Cloud9,Vertigo,16 - 7,W
27/11/20,BLAST Premier Fall 2020 Showdown,HEROIC,Train,16 - 8,W
27/11/20,BLAST Premier Fall 2020 Showdown,HEROIC,Nuke,16 - 7,W
27/11/20,BLAST Premier Fall 2020 Showdown,HEROIC,Mirage,14 - 16,L
25/11/20,BLAST Premier Fall 2020 Showdown,GODSENT,Train,16 - 8,W
25/11/20,BLAST Premier Fall 2020 Showdown,GODSENT,Inferno,16 - 6,W
16/11/20,IEM Beijing-Haidian 2020 Europe,G2,Nuke,9 - 16,L
16/11/20,IEM Beijing-Haidian 2020 Europe,G2,Dust2,16 - 12,W
16/11/20,IEM Beijing-Haidian 2020 Europe,G2,Inferno,12 - 16,L
14/11/20,IEM Beijing-Haidian 2020 Europe,Astralis,Inferno,3 - 16,L
14/11/20,IEM Beijing-Haidian 2020 Europe,Astralis,Nuke,16 - 14,W
14/11/20,IEM Beijing-Haidian 2020 Europe,Astralis,Dust2,5 - 16,L
13/11/20,IEM Beijing-Haidian 2020 Europe,BIG,Inferno,16 - 4,W
13/11/20,IEM Beijing-Haidian 2020 Europe,BIG,Dust2,16 - 14,W
13/11/20,IEM Beijing-Haidian 2020 Europe,BIG,Nuke,11 - 16,L
16/10/20,DreamHack Open Fall 2020,OG,Dust2,6 - 16,L
16/10/20,DreamHack Open Fall 2020,OG,Nuke,13 - 16,L
15/10/20,DreamHack Open Fall 2020,Vitality,Dust2,12 - 16,L
15/10/20,DreamHack Open Fall 2020,Vitality,Nuke,6 - 16,L
03/10/20,ESL Pro League Season 12 Europe,Astralis,Nuke,17 - 19,L
03/10/20,ESL Pro League Season 12 Europe,Astralis,Inferno,16 - 6,W
03/10/20,ESL Pro League Season 12 Europe,Astralis,Dust2,3 - 16,L
02/10/20,ESL Pro League Season 12 Europe,BIG,Inferno,16 - 9,W
02/10/20,ESL Pro League Season 12 Europe,BIG,Dust2,11 - 16,L
02/10/20,ESL Pro League Season 12 Europe,BIG,Nuke,16 - 12,W
30/09/20,ESL Pro League Season 12 Europe,ENCE,Inferno,16 - 12,W
30/09/20,ESL Pro League Season 12 Europe,ENCE,Train,8 - 16,L
30/09/20,ESL Pro League Season 12 Europe,ENCE,Nuke,16 - 4,W
29/09/20,ESL Pro League Season 12 Europe,Natus Vincere,Inferno,13 - 16,L
29/09/20,ESL Pro League Season 12 Europe,Natus Vincere,Dust2,14 - 16,L
29/09/20,ESL Pro League Season 12 Europe,Natus Vincere,Nuke,16 - 5,W
25/09/20,DreamHack Open Fall 2020 Closed Qualifier,Movistar Riders,Nuke,19 - 15,W
25/09/20,DreamHack Open Fall 2020 Closed Qualifier,Movistar Riders,Inferno,16 - 6,W
24/09/20,DreamHack Open Fall 2020 Closed Qualifier,Endpoint,Dust2,20 - 22,L
24/09/20,DreamHack Open Fall 2020 Closed Qualifier,Endpoint,Mirage,12 - 16,L
24/09/20,DreamHack Open Fall 2020 Closed Qualifier,Endpoint,Train,16 - 1,W
24/09/20,DreamHack Open Fall 2020 Closed Qualifier,c0ntact,Train,16 - 14,W
24/09/20,DreamHack Open Fall 2020 Closed Qualifier,c0ntact,Nuke,14 - 16,L
24/09/20,DreamHack Open Fall 2020 Closed Qualifier,c0ntact,Mirage,28 - 24,W
23/09/20,DreamHack Open Fall 2020 Closed Qualifier,x6tence,Nuke,16 - 13,W
23/09/20,DreamHack Open Fall 2020 Closed Qualifier,x6tence,Vertigo,16 - 14,W
22/09/20,DreamHack Open Fall 2020 Closed Qualifier,AGF,Mirage,16 - 9,W
22/09/20,DreamHack Open Fall 2020 Closed Qualifier,AGF,Inferno,16 - 14,W
22/09/20,DreamHack Open Fall 2020 Closed Qualifier,Endpoint,Dust2,8 - 16,L
22/09/20,DreamHack Open Fall 2020 Closed Qualifier,Endpoint,Train,20 - 22,L
19/09/20,ESL Pro League Season 12 Europe,Vitality,Vertigo,16 - 8,W
19/09/20,ESL Pro League Season 12 Europe,Vitality,Nuke,16 - 14,W
18/09/20,ESL Pro League Season 12 Europe,Spirit,Mirage,14 - 16,L
18/09/20,ESL Pro League Season 12 Europe,Spirit,Inferno,13 - 16,L
16/09/20,ESL Pro League Season 12 Europe,Complexity,Mirage,16 - 9,W
16/09/20,ESL Pro League Season 12 Europe,Complexity,Nuke,22 - 20,W
11/09/20,ESL Pro League Season 12 Europe,Astralis,Inferno,9 - 16,L
11/09/20,ESL Pro League Season 12 Europe,Astralis,Nuke,14 - 16,L
11/09/20,ESL Pro League Season 12 Europe,Astralis,Dust2,16 - 12,W
09/09/20,ESL Pro League Season 12 Europe,Ninjas in Pyjamas,Train,17 - 19,L
09/09/20,ESL Pro League Season 12 Europe,Ninjas in Pyjamas,Mirage,4 - 16,L
09/09/20,ESL Pro League Season 12 Europe,Ninjas in Pyjamas,Nuke,16 - 13,W
05/09/20,ESL Pro League Season 12 Europe,fnatic,Train,16 - 14,W
05/09/20,ESL Pro League Season 12 Europe,fnatic,Inferno,13 - 16,L
05/09/20,ESL Pro League Season 12 Europe,fnatic,Dust2,16 - 8,W
02/09/20,ESL Pro League Season 12 Europe,FaZe,Inferno,16 - 12,W
02/09/20,ESL Pro League Season 12 Europe,FaZe,Nuke,16 - 13,W
21/08/20,ESL One Cologne 2020 Europe,MAD Lions,Nuke,4 - 16,L
21/08/20,ESL One Cologne 2020 Europe,MAD Lions,Vertigo,5 - 16,L
19/08/20,ESL One Cologne 2020 Europe,Natus Vincere,Dust2,7 - 16,L
19/08/20,ESL One Cologne 2020 Europe,Natus Vincere,Train,9 - 16,L
19/08/20,ESL One Cologne 2020 Europe,Natus Vincere,Nuke,16 - 10,W
26/06/20,cs_summit 6 Europe,fnatic,Nuke,4 - 16,L
26/06/20,cs_summit 6 Europe,fnatic,Inferno,14 - 16,L
24/06/20,cs_summit 6 Europe,GODSENT,Vertigo,13 - 16,L
24/06/20,cs_summit 6 Europe,GODSENT,Dust2,17 - 19,L
06/06/20,BLAST Premier Spring 2020 Europe Showdown,ENCE,Dust2,9 - 16,L
06/06/20,BLAST Premier Spring 2020 Europe Showdown,ENCE,Train,6 - 16,L
05/06/20,BLAST Premier Spring 2020 Europe Showdown,Astralis,Train,16 - 5,W
05/06/20,BLAST Premier Spring 2020 Europe Showdown,Astralis,Overpass,19 - 16,W
04/06/20,BLAST Premier Spring 2020 Europe Showdown,Virtus.pro,Dust2,14 - 16,L
04/06/20,BLAST Premier Spring 2020 Europe Showdown,MAD Lions,Train,15 - 15,T
03/06/20,BLAST Premier Spring 2020 Europe Showdown,fnatic,Train,14 - 16,L
01/06/20,BLAST Premier Spring 2020 Europe Showdown,Dignitas,Train,16 - 10,W
24/05/20,DreamHack Masters Spring 2020 - Europe,MAD Lions,Train,10 - 16,L
24/05/20,DreamHack Masters Spring 2020 - Europe,MAD Lions,Inferno,5 - 16,L
23/05/20,DreamHack Masters Spring 2020 - Europe,BIG,Dust2,2 - 16,L
23/05/20,DreamHack Masters Spring 2020 - Europe,BIG,Vertigo,14 - 16,L
23/05/20,DreamHack Masters Spring 2020 - Europe,BIG,Nuke,22 - 20,W
22/05/20,DreamHack Masters Spring 2020 - Europe,Complexity,Dust2,8 - 16,L
22/05/20,DreamHack Masters Spring 2020 - Europe,Complexity,Inferno,9 - 16,L
10/05/20,ESL One: Road to Rio - Europe,Copenhagen Flames,Train,16 - 9,W
10/05/20,ESL One: Road to Rio - Europe,Copenhagen Flames,Nuke,16 - 14,W
10/05/20,ESL One: Road to Rio - Europe,Copenhagen Flames,Overpass,13 - 16,L
08/05/20,ESL One: Road to Rio - Europe,GODSENT,Train,11 - 16,L
08/05/20,ESL One: Road to Rio - Europe,GODSENT,Overpass,10 - 16,L
03/05/20,ESL One: Road to Rio - Europe,G2,Dust2,16 - 14,W
03/05/20,ESL One: Road to Rio - Europe,G2,Train,16 - 5,W
03/05/20,ESL One: Road to Rio - Europe,G2,Vertigo,13 - 16,L
01/05/20,ESL One: Road to Rio - Europe,FaZe,Train,7 - 16,L
01/05/20,ESL One: Road to Rio - Europe,FaZe,Mirage,10 - 16,L
29/04/20,ESL One: Road to Rio - Europe,c0ntact,Train,16 - 1,W
29/04/20,ESL One: Road to Rio - Europe,c0ntact,Dust2,16 - 2,W
29/04/20,ESL One: Road to Rio - Europe,c0ntact,Inferno,16 - 19,L
26/04/20,ESL One: Road to Rio - Europe,North,Mirage,12 - 16,L
26/04/20,ESL One: Road to Rio - Europe,North,Vertigo,14 - 16,L
24/04/20,ESL One: Road to Rio - Europe,Movistar Riders,Train,17 - 19,L
24/04/20,ESL One: Road to Rio - Europe,Movistar Riders,Inferno,12 - 16,L
12/04/20,ESL Pro League Season 11 Europe,fnatic,Mirage,12 - 16,L
12/04/20,ESL Pro League Season 11 Europe,fnatic,Nuke,1 - 16,L
12/04/20,ESL Pro League Season 11 Europe,fnatic,Vertigo,16 - 11,W
12/04/20,ESL Pro League Season 11 Europe,fnatic,Dust2,16 - 7,W
12/04/20,ESL Pro League Season 11 Europe,fnatic,Overpass,11 - 16,L
11/04/20,ESL Pro League Season 11 Europe,Astralis,Nuke,16 - 12,W
11/04/20,ESL Pro League Season 11 Europe,Astralis,Inferno,5 - 16,L
11/04/20,ESL Pro League Season 11 Europe,Astralis,Dust2,19 - 17,W
09/04/20,ESL Pro League Season 11 Europe,Astralis,Dust2,1 - 16,L
09/04/20,ESL Pro League Season 11 Europe,Astralis,Inferno,3 - 16,L
08/04/20,ESL Pro League Season 11 Europe,fnatic,Nuke,7 - 16,L
08/04/20,ESL Pro League Season 11 Europe,fnatic,Inferno,13 - 16,L
07/04/20,ESL Pro League Season 11 Europe,Natus Vincere,Dust2,16 - 9,W
07/04/20,ESL Pro League Season 11 Europe,Natus Vincere,Nuke,16 - 11,W
06/04/20,ESL Pro League Season 11 Europe,FaZe,Dust2,16 - 12,W
06/04/20,ESL Pro League Season 11 Europe,FaZe,Train,9 - 16,L
06/04/20,ESL Pro League Season 11 Europe,FaZe,Nuke,16 - 4,W
05/04/20,ESL Pro League Season 11 Europe,OG,Train,16 - 11,W
05/04/20,ESL Pro League Season 11 Europe,OG,Nuke,16 - 14,W
03/04/20,ESL Pro League Season 11 Europe,G2,Train,16 - 11,W
03/04/20,ESL Pro League Season 11 Europe,G2,Nuke,16 - 9,W
01/04/20,ESL Pro League Season 11 Europe,TYLOO,Train,16 - 13,W
01/04/20,ESL Pro League Season 11 Europe,TYLOO,Mirage,16 - 7,W
31/03/20,ESL Pro League Season 11 Europe,Virtus.pro,Train,16 - 12,W
31/03/20,ESL Pro League Season 11 Europe,Virtus.pro,Vertigo,16 - 12,W
29/03/20,ESL Pro League Season 11 Europe,OG,Inferno,2 - 16,L
29/03/20,ESL Pro League Season 11 Europe,OG,Train,5 - 16,L
29/03/20,ESL Pro League Season 11 Europe,OG,Mirage,19 - 16,W
28/03/20,ESL Pro League Season 11 Europe,FaZe,Dust2,16 - 12,W
28/03/20,ESL Pro League Season 11 Europe,FaZe,Train,16 - 14,W
28/03/20,ESL Pro League Season 11 Europe,FaZe,Nuke,9 - 16,L
27/02/20,IEM Katowice 2020,100 Thieves,Nuke,14 - 16,L
27/02/20,IEM Katowice 2020,100 Thieves,Dust2,8 - 16,L
27/02/20,IEM Katowice 2020,100 Thieves,Inferno,16 - 10,W
27/02/20,IEM Katowice 2020,MAD Lions,Dust2,16 - 4,W
27/02/20,IEM Katowice 2020,MAD Lions,Train,16 - 8,W
26/02/20,IEM Katowice 2020,G2,Nuke,7 - 16,L
26/02/20,IEM Katowice 2020,G2,Inferno,6 - 16,L
26/02/20,IEM Katowice 2020,G2,Dust2,16 - 13,W
24/02/20,IEM Katowice 2020,TYLOO,Dust2,16 - 10,W
24/02/20,IEM Katowice 2020,TYLOO,Inferno,16 - 5,W
06/02/20,ICE Challenge 2020,Natus Vincere,Nuke,16 - 9,W
06/02/20,ICE Challenge 2020,Natus Vincere,Train,11 - 16,L
06/02/20,ICE Challenge 2020,Natus Vincere,Inferno,16 - 8,W
06/02/20,ICE Challenge 2020,Natus Vincere,Dust2,16 - 14,W
05/02/20,ICE Challenge 2020,MAD Lions,Nuke,16 - 12,W
05/02/20,ICE Challenge 2020,MAD Lions,Dust2,16 - 4,W
05/02/20,ICE Challenge 2020,MAD Lions,Vertigo,13 - 16,L
02/02/20,ICE Challenge 2020,Virtus.pro,Train,16 - 14,W
02/02/20,ICE Challenge 2020,Virtus.pro,Vertigo,16 - 9,W
01/02/20,ICE Challenge 2020,MAD Lions,Dust2,16 - 11,W
01/02/20,ICE Challenge 2020,MAD Lions,Mirage,19 - 15,W
22/12/19,EPICENTER 2019,Vitality,Nuke,9 - 16,L
22/12/19,EPICENTER 2019,Vitality,Mirage,12 - 16,L
22/12/19,EPICENTER 2019,Vitality,Inferno,19 - 16,W
22/12/19,EPICENTER 2019,Evil Geniuses,Overpass,16 - 14,W
22/12/19,EPICENTER 2019,Evil Geniuses,Train,16 - 12,W
18/12/19,EPICENTER 2019,Evil Geniuses,Inferno,16 - 4,W
18/12/19,EPICENTER 2019,Evil Geniuses,Train,16 - 11,W
18/12/19,EPICENTER 2019,Virtus.pro,Dust2,22 - 19,W
18/12/19,EPICENTER 2019,Virtus.pro,Mirage,16 - 11,W
18/12/19,EPICENTER 2019,Virtus.pro,Inferno,11 - 16,L
16/12/19,cs_summit 5,G2,Train,16 - 14,W
16/12/19,cs_summit 5,G2,Vertigo,1 - 16,L
16/12/19,cs_summit 5,G2,Mirage,19 - 17,W
15/12/19,cs_summit 5,OG,Dust2,16 - 12,W
15/12/19,cs_summit 5,OG,Inferno,16 - 5,W
15/12/19,cs_summit 5,OG,Mirage,12 - 16,L
15/12/19,cs_summit 5,FURIA,Vertigo,16 - 5,W
15/12/19,cs_summit 5,FURIA,Mirage,16 - 9,W
14/12/19,cs_summit 5,MIBR,Vertigo,7 - 16,L
14/12/19,cs_summit 5,MIBR,Mirage,16 - 7,W
13/12/19,cs_summit 5,G2,Dust2,3 - 16,L
13/12/19,cs_summit 5,G2,Vertigo,2 - 16,L
12/12/19,cs_summit 5,Virtus.pro,Vertigo,11 - 16,L
12/12/19,cs_summit 5,Virtus.pro,Mirage,16 - 6,W
12/12/19,cs_summit 5,OG,Dust2,16 - 14,W
12/12/19,cs_summit 5,OG,Mirage,16 - 8,W
08/12/19,ESL Pro League Season 10 Finals,fnatic,Mirage,16 - 11,W
08/12/19,ESL Pro League Season 10 Finals,fnatic,Train,16 - 10,W
08/12/19,ESL Pro League Season 10 Finals,fnatic,Inferno,16 - 11,W
07/12/19,ESL Pro League Season 10 Finals,Astralis,Dust2,16 - 14,W
07/12/19,ESL Pro League Season 10 Finals,Astralis,Overpass,9 - 16,L
07/12/19,ESL Pro League Season 10 Finals,Astralis,Train,22 - 19,W
06/12/19,ESL Pro League Season 10 Finals,Evil Geniuses,Nuke,16 - 0,W
06/12/19,ESL Pro League Season 10 Finals,Evil Geniuses,Inferno,17 - 19,L
06/12/19,ESL Pro League Season 10 Finals,Evil Geniuses,Train,16 - 6,W
05/12/19,ESL Pro League Season 10 Finals,ATK,Dust2,16 - 6,W
05/12/19,ESL Pro League Season 10 Finals,ATK,Vertigo,16 - 5,W
05/12/19,ESL Pro League Season 10 Finals,Renegades,Inferno,16 - 7,W
05/12/19,ESL Pro League Season 10 Finals,Renegades,Train,16 - 8,W
05/12/19,ESL Pro League Season 10 Finals,Renegades,Nuke,14 - 16,L
04/12/19,ESL Pro League Season 10 Finals,Liquid,Dust2,14 - 16,L
04/12/19,ESL Pro League Season 10 Finals,Liquid,Vertigo,16 - 12,W
04/12/19,ESL Pro League Season 10 Finals,Liquid,Nuke,5 - 16,L
03/12/19,ESL Pro League Season 10 Finals,ATK,Nuke,16 - 9,W
24/11/19,CS:GO Asia Championships 2019,ENCE,Inferno,16 - 11,W
24/11/19,CS:GO Asia Championships 2019,ENCE,Train,16 - 10,W
24/11/19,CS:GO Asia Championships 2019,TYLOO,Dust2,16 - 14,W
24/11/19,CS:GO Asia Championships 2019,TYLOO,Inferno,19 - 17,W
24/11/19,CS:GO Asia Championships 2019,TYLOO,Overpass,6 - 16,L
23/11/19,CS:GO Asia Championships 2019,Evil Geniuses,Nuke,16 - 13,W
23/11/19,CS:GO Asia Championships 2019,Evil Geniuses,Overpass,16 - 10,W
21/11/19,CS:GO Asia Championships 2019,ENCE,Dust2,11 - 16,L
21/11/19,CS:GO Asia Championships 2019,ENCE,Inferno,16 - 11,W
21/11/19,CS:GO Asia Championships 2019,ENCE,Mirage,8 - 16,L
20/11/19,CS:GO Asia Championships 2019,AVANGAR,Inferno,16 - 11,W
20/11/19,CS:GO Asia Championships 2019,AVANGAR,Dust2,16 - 11,W
31/10/19,EPICENTER 2019 Europe Closed Qualifier,HEROIC,Mirage,14 - 16,L
31/10/19,EPICENTER 2019 Europe Closed Qualifier,HEROIC,Vertigo,13 - 16,L
31/10/19,EPICENTER 2019 Europe Closed Qualifier,SMASH,Vertigo,16 - 10,W
31/10/19,EPICENTER 2019 Europe Closed Qualifier,SMASH,Dust2,16 - 12,W
30/10/19,EPICENTER 2019 Europe Closed Qualifier,CR4ZY,Inferno,16 - 10,W
30/10/19,EPICENTER 2019 Europe Closed Qualifier,CR4ZY,Nuke,16 - 0,W
28/10/19,ECS Season 8 Europe Week 5,Virtus.pro,Mirage,6 - 16,L
28/10/19,ECS Season 8 Europe Week 5,Virtus.pro,Overpass,13 - 16,L
23/10/19,StarSeries i-League Season 8,fnatic,Inferno,12 - 16,L
23/10/19,StarSeries i-League Season 8,fnatic,Train,17 - 19,L
23/10/19,StarSeries i-League Season 8,Invictus,Train,16 - 14,W
23/10/19,StarSeries i-League Season 8,Invictus,Dust2,16 - 14,W
21/10/19,StarSeries i-League Season 8,North,Train,9 - 16,L
21/10/19,StarSeries i-League Season 8,North,Nuke,16 - 5,W
21/10/19,StarSeries i-League Season 8,North,Mirage,11 - 16,L
14/10/19,ECS Season 8 Europe Week 3,m1x,Inferno,9 - 16,L
14/10/19,ECS Season 8 Europe Week 3,m1x,Nuke,16 - 5,W
14/10/19,ECS Season 8 Europe Week 3,m1x,Dust2,15 - 19,L
10/10/19,ESL Pro League Season 10 Europe,FaZe,Overpass,16 - 12,W
10/10/19,ESL Pro League Season 10 Europe,FaZe,Train,19 - 17,W
09/10/19,ESL Pro League Season 10 Europe,OpTic,Train,16 - 7,W
09/10/19,ESL Pro League Season 10 Europe,OpTic,Vertigo,19 - 15,W
08/10/19,ESL Pro League Season 10 Europe,BIG,Inferno,16 - 12,W
08/10/19,ESL Pro League Season 10 Europe,BIG,Dust2,7 - 16,L
08/10/19,ESL Pro League Season 10 Europe,BIG,Train,16 - 13,W
04/10/19,DreamHack Masters Malmö 2019,Vitality,Dust2,13 - 16,L
04/10/19,DreamHack Masters Malmö 2019,Vitality,Inferno,16 - 12,W
04/10/19,DreamHack Masters Malmö 2019,Vitality,Mirage,14 - 16,L
03/10/19,DreamHack Masters Malmö 2019,Grayhound,Mirage,16 - 5,W
03/10/19,DreamHack Masters Malmö 2019,Grayhound,Inferno,11 - 16,L
03/10/19,DreamHack Masters Malmö 2019,Grayhound,Dust2,16 - 2,W
03/10/19,DreamHack Masters Malmö 2019,OpTic,Nuke,16 - 13,W
03/10/19,DreamHack Masters Malmö 2019,OpTic,Mirage,16 - 10,W
02/10/19,DreamHack Masters Malmö 2019,Evil Geniuses,Train,22 - 20,W
02/10/19,DreamHack Masters Malmö 2019,Evil Geniuses,Mirage,16 - 10,W
01/10/19,DreamHack Masters Malmö 2019,Ninjas in Pyjamas,Inferno,9 - 16,L
22/09/19,V4 Future Sports Festival 2019,Virtus.pro,Inferno,14 - 16,L
22/09/19,V4 Future Sports Festival 2019,Virtus.pro,Mirage,3 - 16,L
20/09/19,GG.BET Beijing Invitational - IEM Beijing 2019 Qualifier,FORZE,Dust2,16 - 10,W
20/09/19,GG.BET Beijing Invitational - IEM Beijing 2019 Qualifier,FORZE,Mirage,19 - 15,W
20/09/19,GG.BET Beijing Invitational - IEM Beijing 2019 Qualifier,HEROIC,Dust2,16 - 10,W
20/09/19,GG.BET Beijing Invitational - IEM Beijing 2019 Qualifier,HEROIC,Overpass,16 - 13,W
18/09/19,V4 Future Sports Festival 2019,Tricked,Mirage,22 - 20,W
18/09/19,V4 Future Sports Festival 2019,Tricked,Nuke,14 - 16,L
18/09/19,V4 Future Sports Festival 2019,Tricked,Dust2,16 - 10,W
18/09/19,V4 Future Sports Festival 2019,E-RIVALS,Inferno,16 - 13,W
18/09/19,V4 Future Sports Festival 2019,E-RIVALS,Dust2,16 - 8,W
16/09/19,DreamHack Masters Malmö 2019 Europe Closed Qualifier,CR4ZY,Dust2,16 - 13,W
16/09/19,DreamHack Masters Malmö 2019 Europe Closed Qualifier,CR4ZY,Inferno,16 - 7,W
16/09/19,GG.BET Beijing Invitational - IEM Beijing 2019 Qualifier,FORZE,Mirage,16 - 10,W
16/09/19,GG.BET Beijing Invitational - IEM Beijing 2019 Qualifier,FORZE,Dust2,16 - 4,W
16/09/19,GG.BET Beijing Invitational - IEM Beijing 2019 Qualifier,ex-Epsilon,Dust2,16 - 8,W
12/09/19,DreamHack Masters Malmö 2019 Europe Closed Qualifier,CR4ZY,Train,16 - 8,W
12/09/19,DreamHack Masters Malmö 2019 Europe Closed Qualifier,CR4ZY,Overpass,16 - 5,W
12/09/19,DreamHack Masters Malmö 2019 Europe Closed Qualifier,CR4ZY,Dust2,10 - 16,L
11/09/19,DreamHack Masters Malmö 2019 Europe Closed Qualifier,GamerLegion,Train,19 - 15,W
11/09/19,DreamHack Masters Malmö 2019 Europe Closed Qualifier,GamerLegion,Mirage,16 - 9,W
11/09/19,DreamHack Masters Malmö 2019 Europe Closed Qualifier,FATE,Dust2,16 - 8,W
11/09/19,DreamHack Masters Malmö 2019 Europe Closed Qualifier,FATE,Inferno,16 - 6,W
01/09/19,StarLadder Major Berlin 2019,Liquid,Dust2,20 - 22,L
01/09/19,StarLadder Major Berlin 2019,Liquid,Mirage,17 - 19,L
31/08/19,StarLadder Major Berlin 2019,Vitality,Mirage,10 - 16,L
31/08/19,StarLadder Major Berlin 2019,Vitality,Vertigo,5 - 16,L
30/08/19,StarLadder Major Berlin 2019,Natus Vincere,Nuke,19 - 17,W
29/08/19,StarLadder Major Berlin 2019,North,Inferno,16 - 13,W
